Player,team,corners_and_indirect_freekicks_order
Bukayo Saka,Arsenal,1.0
Leandro Trossard,Arsenal,2.0
Douglas Luiz Soares de Paulo,Aston Villa,1.0
John McGinn,Aston Villa,2.0
Joe Rothwell,Bournemouth,2.0
Hamed Traorè,Bournemouth,1.0
Mathias Jensen,Brentford,2.0
Bryan Mbeumo,Brentford,1.0
Pascal Groß,Brighton,1.0
Solly March,Brighton,2.0
Ben Chilwell,Chelsea,1.0
Reece James,Chelsea,2.0
Eberechi Eze,Crystal Palace,2.0
Michael Olise,Crystal Palace,1.0
Dwight McNeil,Everton,1.0
Ashley Young,Everton,2.0
Andreas Hoelgebaum Pereira,Fulham,1.0
Trent Alexander-Arnold,Liverpool,1.0
Andrew Robertson,Liverpool,2.0
Kevin De Bruyne,Man City,2.0
Bruno Borges Fernandes,Man Utd,2.0
Christian Eriksen,Man Utd,1.0
Matt Targett,Newcastle,2.0
Kieran Trippier,Newcastle,1.0
Morgan Gibbs-White,Nott'm Forest,1.0
Jonjo Shelvey,Nott'm Forest,2.0
Ivan Perišić,Spurs,2.0
Son Heung-min,Spurs,1.0
Jarrod Bowen,West Ham,1.0
Emerson Palmieri dos Santos,West Ham,2.0
Pablo Sarabia,Wolves,2.0
